% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1.2                                               472.52754216215897+2.4841826968095493i            472.52754216215897                                95.10724448105789                                 472.52754216215897                                95.10724448105789                                 472.52754216215897                                95.10724448105789
1.2                                               472.96405520284856+3.9197005068712505i            472.96405520284856                                60.33165727505721                                 472.96405520284856                                60.33165727505721                                 472.96405520284856                                60.33165727505721
1.2                                               473.2091466074512+1.4814797775170303i             473.2091466074512                                 159.70827067263542                                473.2091466074512                                 159.70827067263542                                473.2091466074512                                 159.70827067263542
1.2                                               473.35279362973904+2.1090250838757134i            473.35279362973904                                112.2207595463654                                 473.35279362973904                                112.2207595463654                                 473.35279362973904                                112.2207595463654
1.2                                               473.3966275418137+3.3844960990075195i             473.3966275418137                                 69.93605749473815                                 473.3966275418137                                 69.93605749473815                                 473.3966275418137                                 69.93605749473815
1.2                                               474.04383965406504+1.6943029690612832i            474.04383965406504                                139.89346896933841                                474.04383965406504                                139.89346896933841                                474.04383965406504                                139.89346896933841
1.4                                               466.81531297976494+1.643904664196064i             466.81531297976494                                141.983693807468                                  466.81531297976494                                141.983693807468                                  466.81531297976494                                141.983693807468
1.4                                               467.827798113472+2.1520202029717796i              467.827798113472                                  108.69502931883181                                467.827798113472                                  108.69502931883181                                467.827798113472                                  108.69502931883181
1.4                                               468.13104777210424+2.477983276905377i             468.13104777210424                                94.45807244444532                                 468.13104777210424                                94.45807244444532                                 468.13104777210424                                94.45807244444532
1.4                                               468.27306934505117+1.359882106440702i             468.27306934505117                                172.17414183450407                                468.27306934505117                                172.17414183450407                                468.27306934505117                                172.17414183450407
1.4                                               468.54600211184953+2.2185597642237913i            468.54600211184953                                105.59688534597127                                468.54600211184953                                105.59688534597127                                468.54600211184953                                105.59688534597127
1.4                                               468.89949196360936+3.453073831151736i             468.89949196360936                                67.89595515355849                                 468.89949196360936                                67.89595515355849                                 468.89949196360936                                67.89595515355849
1.4                                               469.20757930251835+1.6577107713052808i            469.20757930251835                                141.52275156330936                                469.20757930251835                                141.52275156330936                                469.20757930251835                                141.52275156330936
1.4                                               470.1241215991211+2.7853537870062217i             470.1241215991211                                 84.39217376842173                                 470.1241215991211                                 84.39217376842173                                 470.1241215991211                                 84.39217376842173
1.4                                               470.24914038624655+3.9351202051832908i            470.24914038624655                                59.75028917373862                                 470.24914038624655                                59.75028917373862                                 470.24914038624655                                59.75028917373862
1.4                                               470.7391826284215+2.1258605684144194i             470.7391826284215                                 110.71732305085371                                470.7391826284215                                 110.71732305085371                                470.7391826284215                                 110.71732305085371
1.4                                               470.77776702822155+1.3808492445341525i            470.77776702822155                                170.46675040440223                                470.77776702822155                                170.46675040440223                                470.77776702822155                                170.46675040440223
1.4                                               471.1717322396331+2.8108877531721976i             471.1717322396331                                 83.81190812544848                                 471.1717322396331                                 83.81190812544848                                 471.1717322396331                                 83.81190812544848
1.4                                               471.5781422769429+1.6356405526546813i             471.5781422769429                                 144.15702200326382                                471.5781422769429                                 144.15702200326382                                471.5781422769429                                 144.15702200326382
1.4                                               472.1202183466504+2.1459580567505916i             472.1202183466504                                 110.00220084952045                                472.1202183466504                                 110.00220084952045                                472.1202183466504                                 110.00220084952045
1.4                                               472.5248724967906+2.4684676938339227i             472.5248724967906                                 95.71218486616779                                 472.5248724967906                                 95.71218486616779                                 472.5248724967906                                 95.71218486616779
1.4                                               472.9677821239228+3.7701764679696947i             472.9677821239228                                 62.72488650625738                                 472.9677821239228                                 62.72488650625738                                 472.9677821239228                                 62.72488650625738
1.4                                               473.17451259984847+1.4815779236475732i            473.17451259984847                                159.686002689253                                  473.17451259984847                                159.686002689253                                  473.17451259984847                                159.686002689253
1.4                                               473.2236464109322+2.0807026367888524i             473.2236464109322                                 113.71726984045593                                473.2236464109322                                 113.71726984045593                                473.2236464109322                                 113.71726984045593
1.4                                               473.37806291536486+3.3826704382433883i            473.37806291536486                                69.97105859966496                                 473.37806291536486                                69.97105859966496                                 473.37806291536486                                69.97105859966496
1.4                                               474.0044127452471+1.6923503725847109i             474.0044127452471                                 140.0432263980019                                 474.0044127452471                                 140.0432263980019                                 474.0044127452471                                 140.0432263980019
1.6                                               466.7768800555354+1.6427848111423955i             466.7768800555354                                 142.06878371700367                                466.7768800555354                                 142.06878371700367                                466.7768800555354                                 142.06878371700367
1.6                                               467.8255828518009+2.15081357635838i               467.8255828518009                                 108.75549326871308                                467.8255828518009                                 108.75549326871308                                467.8255828518009                                 108.75549326871308
1.6                                               468.1279928585112+2.477202253821927i              468.1279928585112                                 94.48723699008923                                 468.1279928585112                                 94.48723699008923                                 468.1279928585112                                 94.48723699008923
